w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,300,337,101,336,106,Click,948,finger, mobileDevice,lmq
24,300,37,101,34,104,Click,869,finger, mobileDevice,lmq
24,300,337,101,331,105,Click,865,finger, mobileDevice,lmq
24,300,37,101,40,107,Click,945,finger, mobileDevice,lmq
24,300,337,101,328,105,Click,985,finger, mobileDevice,lmq
24,300,37,101,22,104,Click,945,finger, mobileDevice,lmq
24,300,337,101,327,106,Click,925,finger, mobileDevice,lmq
24,300,37,101,37,105,Click,872,finger, mobileDevice,lmq
24,300,337,101,322,111,Click,934,finger, mobileDevice,lmq
24,300,37,101,23,103,Click,827,finger, mobileDevice,lmq
24,300,337,101,326,107,Click,960,finger, mobileDevice,lmq
24,300,37,101,41,103,Click,907,finger, mobileDevice,lmq
24,300,337,101,327,103,Click,881,finger, mobileDevice,lmq
24,300,37,101,30,105,Click,916,finger, mobileDevice,lmq
24,300,337,101,327,113,Click,857,finger, mobileDevice,lmq
24,300,37,101,33,103,Click,865,finger, mobileDevice,lmq
24,300,337,101,326,105,Click,942,finger, mobileDevice,lmq
24,300,37,101,38,96,Click,901,finger, mobileDevice,lmq
12,100,237,101,223,107,Click,2420,finger, mobileDevice,lmq
12,100,137,101,134,96,Click,956,finger, mobileDevice,lmq
12,100,237,101,237,104,Click,842,finger, mobileDevice,lmq
12,100,137,101,125,107,Click,783,finger, mobileDevice,lmq
12,100,237,101,241,107,Click,930,finger, mobileDevice,lmq
12,100,137,101,130,106,Click,884,finger, mobileDevice,lmq
12,100,237,101,239,106,Click,1116,finger, mobileDevice,lmq
12,100,137,101,137,105,Click,814,finger, mobileDevice,lmq
12,100,237,101,230,107,Click,890,finger, mobileDevice,lmq
12,100,137,101,132,104,Click,817,finger, mobileDevice,lmq
12,100,237,101,237,107,Click,957,finger, mobileDevice,lmq
12,100,137,101,129,104,Click,802,finger, mobileDevice,lmq
12,100,237,101,233,104,Click,981,finger, mobileDevice,lmq
12,100,137,101,141,109,Click,828,finger, mobileDevice,lmq
12,100,237,101,236,107,Click,856,finger, mobileDevice,lmq
12,100,137,101,137,110,Click,862,finger, mobileDevice,lmq
12,100,237,101,242,111,Click,798,finger, mobileDevice,lmq
12,100,137,101,131,104,Click,901,finger, mobileDevice,lmq
12,200,287,101,278,105,Click,1170,finger, mobileDevice,lmq
12,200,87,101,76,117,Click,911,finger, mobileDevice,lmq
